latitude,longitude,depth,gap,dmin,rms,horizontalError,depthError,magError,magNst
34.1808,83.9736,10,112,6.662,1,7.8,2,0.164,10
24.085,125.3337,33.09,124,2.153,1.38,10.3,7.7,0.151,13
24.1737,125.2212,34.96,103,2.037,1.11,8.1,4.1,0.096,33
52.1727,160.5959,10,138,1.461,0.88,7.5,1.9,0.15,13
12.1664,141.611,107.26,42,3.477,0.9,11.4,8,0.065,66
42.2388,143.1047,66.47,112,0.227,0.54,7.5,5.3,0.105,26
28.9647,143.571,10,151,2.229,0.55,4.7,1.9,0.125,21
37.1384,71.9766,245.21,93,0.465,0.56,8.4,5.9,0.174,9
41.6724,82.6639,10,258,2.634,0.95,10.9,2,0.53,1
51.9108,157.5016,115.86,150,1.205,0.67,12.7,8,0.178,9
41.6817,82.4498,10,116,2.477,0.7,9.7,1.8,0.147,14
35.1704,140.6009,38.05,120,2.046,0.96,6.7,7.7,0.073,56
41.8308,82.4188,10,60,2.485,0.58,7.5,1.9,0.077,49
38.5343,70.452,12.34,78,0.477,1.15,4.1,5.6,0.145,14
38.513,133.5436,449.54,56,3.739,0.94,15,11.4,0.143,13
24.0673,121.4886,58.17,89,0.143,0.6,4.1,3.9,0.262,4
23.1338,143.7739,35,124,4.199,0.59,13.2,2,0.115,22
37.8889,141.691,54.44,123,0.713,0.64,5.4,6.3,0.068,21
23.1456,143.7464,35,76,4.18,0.75,11.2,1.9,0.061,80
14.0372,120.7977,208.95,44,8.737,1.1,8.7,5.1,0.076,50
23.1784,143.7652,34.63,31,4.155,0.93,8.8,4.2,0.073,18
22.2215,125.1593,10,96,2.982,0.82,4.9,1.9,0.102,28
41.9381,82.304,10,72,2.43,0.68,2,1.9,0.061,83
49.3746,156.1303,42.62,161,3.866,0.58,10.4,4.2,0.048,132
38.4108,73.7924,132.22,128,1.884,0.73,6.1,12.6,0.203,7
38.9244,89.4888,14.55,133,8.199,0.65,12.8,5.2,0.171,10
37.0022,141.2542,19.86,135,0.941,0.94,6.5,5.3,0.14,15
42.4279,143.7114,97.8,165,0.582,0.72,10,3.2,0.105,25
13.3926,120.4307,74.13,114,8.382,1.06,15.2,9.5,0.16,11
42.3707,142.9248,42.66,99,0.395,0.68,3.5,6.7,0.053,108
9.3139,125.8717,98.54,150,15.142,0.37,24.5,11,0.179,9
38.4095,73.8932,122.97,29,1.95,0.74,6.1,4.6,0.071,19
33.5493,141.2363,34.35,146,1.267,0.74,3.1,7.6,0.159,12
19.7007,147.9041,10,144,4.872,0.71,9.4,2,0.149,13
44.1588,138.783,258.7,54,2.743,0.58,9.7,2.9,0.129,16
36.3564,70.8664,105.73,78,0.802,1.23,5.6,6.3,0.087,39
38.4427,142.1305,47.47,176,1.202,0.9,8.8,10.2,0.18,9
32.0877,141.8781,23.6,126,2.021,0.56,7,4.9,0.091,36
42.8838,141.9592,38.75,82,1.24,0.57,7.2,7.7,0.098,30
33.5346,89.2072,10,45,4.155,0.82,5.5,1.8,0.073,56
47.0156,152.8699,57.9,183,6.844,0.64,14.7,11.9,0.107,26
35.5209,140.9905,35.02,114,0.592,0.69,5.9,5.5,0.037,234
37.6959,69.4102,14.31,57,0.527,0.77,3.6,6.2,0.219,6
39.3973,95.123,10,71,10.214,0.79,5.9,1.9,0.081,45
12.3681,124.6636,101.9,94,5.341,0.78,8,4.5,0.039,214
42.8832,145.5749,35,121,1.988,1.04,8.9,2,0.095,32
51.1212,157.6633,64.5,53,1.99,0.65,10.1,5.6,0.068,65
